image_name,x_left_0,x_left_1,x_left_2,x_left_3,x_left_4,x_left_5,x_left_6,x_left_7,x_left_8,x_left_9,x_left_10,x_left_11,x_left_12,x_left_13,x_left_14,x_left_15,x_left_16,x_left_17,x_left_18,x_left_19,x_left_20,y_left_0,y_left_1,y_left_2,y_left_3,y_left_4,y_left_5,y_left_6,y_left_7,y_left_8,y_left_9,y_left_10,y_left_11,y_left_12,y_left_13,y_left_14,y_left_15,y_left_16,y_left_17,y_left_18,y_left_19,y_left_20,z_left_0,z_left_1,z_left_2,z_left_3,z_left_4,z_left_5,z_left_6,z_left_7,z_left_8,z_left_9,z_left_10,z_left_11,z_left_12,z_left_13,z_left_14,z_left_15,z_left_16,z_left_17,z_left_18,z_left_19,z_left_20
N284 copy 33.jpg,0.6150273680686951,0.7051169276237488,0.7784430980682373,0.790029764175415,0.7503150105476379,0.6970131993293762,0.6783983111381531,0.660459041595459,0.6507810950279236,0.5991441607475281,0.6086965799331665,0.622866690158844,0.6308386325836182,0.521690845489502,0.5496019124984741,0.5792751312255859,0.5929147005081177,0.4642544686794281,0.4918680191040039,0.5216595530509949,0.5359727144241333,0.6658015251159668,0.6612246632575989,0.6497683525085449,0.6583869457244873,0.6842825412750244,0.5102120041847229,0.6720507144927979,0.7761486172676086,0.8421729803085327,0.5090890526771545,0.7086657881736755,0.7910966873168945,0.8346911072731018,0.5388895869255066,0.7267241477966309,0.7695326805114746,0.775654673576355,0.5856739282608032,0.70516037940979,0.7281880378723145,0.7158533334732056,-9.345201306132367e-07,-0.08016728609800339,-0.14030925929546356,-0.18821236491203308,-0.23256778717041016,-0.16001705825328827,-0.2490098625421524,-0.3024725615978241,-0.3286208510398865,-0.14802277088165283,-0.2222321331501007,-0.2385738641023636,-0.24334430694580078,-0.1396293193101883,-0.18959787487983704,-0.17357872426509857,-0.1566760390996933,-0.1401047259569168,-0.16986723244190216,-0.15848752856254578,-0.1431291401386261
N279 copy 32.jpg,0.6690940260887146,0.752129316329956,0.8239886164665222,0.847993791103363,0.8077411651611328,0.7415204644203186,0.7435450553894043,0.7275894284248352,0.716556191444397,0.6422447562217712,0.6587864756584167,0.6696339249610901,0.6778036952018738,0.5680379271507263,0.5950206518173218,0.6234840750694275,0.6415805220603943,0.5130298733711243,0.5381330251693726,0.5694975852966309,0.5912972688674927,0.6745030879974365,0.6699432730674744,0.6543319225311279,0.6458566784858704,0.6565927267074585,0.5071214437484741,0.6716964840888977,0.7748327255249023,0.8487005829811096,0.5111438035964966,0.6997172236442566,0.7809696197509766,0.8385747671127319,0.5447266697883606,0.7141510248184204,0.7357562184333801,0.7314507961273193,0.5948454737663269,0.7021081447601318,0.7092153429985046,0.6898127794265747,-1.2867727718912647e-06,-0.05229976028203964,-0.10057467967271805,-0.1446344405412674,-0.18756331503391266,-0.11799540370702744,-0.20680546760559082,-0.27351534366607666,-0.3075309991836548,-0.11866718530654907,-0.18240715563297272,-0.20027349889278412,-0.2053861767053604,-0.12255366891622543,-0.1565389186143875,-0.13446758687496185,-0.1138918325304985,-0.13480806350708008,-0.14659540355205536,-0.12381814420223236,-0.10152745246887207
N281 copy 21.jpg,0.6462007761001587,0.7332900762557983,0.8006938695907593,0.8151631951332092,0.7794562578201294,0.7197670340538025,0.7094108462333679,0.6970481276512146,0.6923996210098267,0.6251105070114136,0.6360167860984802,0.6502960324287415,0.6595298647880554,0.5498284697532654,0.574000358581543,0.6029305458068848,0.6195337772369385,0.49356508255004883,0.5162540078163147,0.5445950627326965,0.5619525909423828,0.6577658653259277,0.6490745544433594,0.6391969919204712,0.6483195424079895,0.6780179142951965,0.49787312746047974,0.6561305522918701,0.7544323801994324,0.8169864416122437,0.5065838694572449,0.6987548470497131,0.7770617008209229,0.8216578364372253,0.5407127737998962,0.715735137462616,0.7514787316322327,0.7559443712234497,0.5878202319145203,0.6963096857070923,0.7140270471572876,0.7014333605766296,-9.080026188712509e-07,-0.0713004469871521,-0.12690289318561554,-0.17320743203163147,-0.21736031770706177,-0.13965252041816711,-0.22718895971775055,-0.28622013330459595,-0.3161468505859375,-0.13173407316207886,-0.20035876333713531,-0.2187604159116745,-0.22627566754817963,-0.127908393740654,-0.17377692461013794,-0.1615147441625595,-0.14748840034008026,-0.13240031898021698,-0.1570218801498413,-0.14495670795440674,-0.1301945298910141
N279.jpg,0.6690940260887146,0.752129316329956,0.8239886164665222,0.847993791103363,0.8077411651611328,0.7415204644203186,0.7435450553894043,0.7275894284248352,0.716556191444397,0.6422447562217712,0.6587864756584167,0.6696339249610901,0.6778036952018738,0.5680379271507263,0.5950206518173218,0.6234840750694275,0.6415805220603943,0.5130298733711243,0.5381330251693726,0.5694975852966309,0.5912972688674927,0.6745030879974365,0.6699432730674744,0.6543319225311279,0.6458566784858704,0.6565927267074585,0.5071214437484741,0.6716964840888977,0.7748327255249023,0.8487005829811096,0.5111438035964966,0.6997172236442566,0.7809696197509766,0.8385747671127319,0.5447266697883606,0.7141510248184204,0.7357562184333801,0.7314507961273193,0.5948454737663269,0.7021081447601318,0.7092153429985046,0.6898127794265747,-1.2867727718912647e-06,-0.05229976028203964,-0.10057467967271805,-0.1446344405412674,-0.18756331503391266,-0.11799540370702744,-0.20680546760559082,-0.27351534366607666,-0.3075309991836548,-0.11866718530654907,-0.18240715563297272,-0.20027349889278412,-0.2053861767053604,-0.12255366891622543,-0.1565389186143875,-0.13446758687496185,-0.1138918325304985,-0.13480806350708008,-0.14659540355205536,-0.12381814420223236,-0.10152745246887207
N278 copy 5.jpg,0.6616798639297485,0.7475133538246155,0.8181037902832031,0.844801664352417,0.8171279430389404,0.7539154887199402,0.7497967481613159,0.7350642085075378,0.7272540926933289,0.6559767127037048,0.6693399548530579,0.6812908053398132,0.6888015866279602,0.579401969909668,0.6065752506256104,0.6321467161178589,0.6459065079689026,0.5210745930671692,0.5473248362541199,0.5747705101966858,0.5904513001441956,0.6674617528915405,0.6622335314750671,0.6533442139625549,0.6561446785926819,0.6770609617233276,0.5153276324272156,0.6785171627998352,0.7825335264205933,0.854111909866333,0.5186920166015625,0.7078244090080261,0.7895241379737854,0.8432756662368774,0.5509682297706604,0.7263644337654114,0.7539273500442505,0.7515237331390381,0.59935063123703,0.707653284072876,0.7158637046813965,0.6954296827316284,-1.0784274309116881e-06,-0.06031569093465805,-0.11238979548215866,-0.15768644213676453,-0.2012646645307541,-0.13066931068897247,-0.21876198053359985,-0.2792785167694092,-0.30902528762817383,-0.1277870237827301,-0.19409392774105072,-0.20982907712459564,-0.213836207985878,-0.12847840785980225,-0.16922052204608917,-0.15017490088939667,-0.1309736669063568,-0.13722363114356995,-0.15697205066680908,-0.13900317251682281,-0.11962039023637772
N279 copy 41.jpg,0.6690940260887146,0.752129316329956,0.8239886164665222,0.847993791103363,0.8077411651611328,0.7415204644203186,0.7435450553894043,0.7275894284248352,0.716556191444397,0.6422447562217712,0.6587864756584167,0.6696339249610901,0.6778036952018738,0.5680379271507263,0.5950206518173218,0.6234840750694275,0.6415805220603943,0.5130298733711243,0.5381330251693726,0.5694975852966309,0.5912972688674927,0.6745030879974365,0.6699432730674744,0.6543319225311279,0.6458566784858704,0.6565927267074585,0.5071214437484741,0.6716964840888977,0.7748327255249023,0.8487005829811096,0.5111438035964966,0.6997172236442566,0.7809696197509766,0.8385747671127319,0.5447266697883606,0.7141510248184204,0.7357562184333801,0.7314507961273193,0.5948454737663269,0.7021081447601318,0.7092153429985046,0.6898127794265747,-1.2867727718912647e-06,-0.05229976028203964,-0.10057467967271805,-0.1446344405412674,-0.18756331503391266,-0.11799540370702744,-0.20680546760559082,-0.27351534366607666,-0.3075309991836548,-0.11866718530654907,-0.18240715563297272,-0.20027349889278412,-0.2053861767053604,-0.12255366891622543,-0.1565389186143875,-0.13446758687496185,-0.1138918325304985,-0.13480806350708008,-0.14659540355205536,-0.12381814420223236,-0.10152745246887207
N561 copy 18.jpg,0.15189433097839355,0.24269500374794006,0.3062964677810669,0.2838839888572693,0.22384928166866302,0.2093755304813385,0.19998231530189514,0.17866435647010803,0.16286911070346832,0.12429936230182648,0.12364158779382706,0.1261068880558014,0.13079659640789032,0.0498671680688858,0.0560116320848465,0.06922145187854767,0.07924982905387878,-0.012861281633377075,-0.004097849130630493,0.011394932866096497,0.01914849877357483,0.49068671464920044,0.4594048857688904,0.4020719528198242,0.38541433215141296,0.4045124650001526,0.20761993527412415,0.3414631485939026,0.4298096299171448,0.48380351066589355,0.20493650436401367,0.342715859413147,0.4224487841129303,0.4770064353942871,0.2297801673412323,0.3606710135936737,0.4260820150375366,0.4674939513206482,0.27159085869789124,0.35032397508621216,0.40676653385162354,0.44150614738464355,-1.0134341437151306e-06,-0.050541672855615616,-0.08492308855056763,-0.11471255868673325,-0.14241118729114532,-0.05886365845799446,-0.1211957335472107,-0.1716388612985611,-0.19777911901474,-0.05542285367846489,-0.10009465366601944,-0.12224623560905457,-0.13220883905887604,-0.05744104087352753,-0.09482176601886749,-0.09783909469842911,-0.0913272351026535,-0.06584509462118149,-0.08479636162519455,-0.07689201086759567,-0.06330163031816483
N304 copy 31.jpg,0.5899194478988647,0.6734334230422974,0.7084762454032898,0.6938828825950623,0.6521732807159424,0.6161284446716309,0.5957375764846802,0.57630854845047,0.5605093240737915,0.5208479166030884,0.5168207287788391,0.5162184834480286,0.5261781215667725,0.44151419401168823,0.45438799262046814,0.49647414684295654,0.5284871459007263,0.3779328167438507,0.39547473192214966,0.44305261969566345,0.4763156771659851,0.5622105598449707,0.5822613835334778,0.5962846279144287,0.6236978769302368,0.6745395064353943,0.4476011395454407,0.6272682547569275,0.7505297660827637,0.8342369198799133,0.4367566704750061,0.6558337211608887,0.7646182775497437,0.8303629159927368,0.45784270763397217,0.6644619107246399,0.7209861278533936,0.740271806716919,0.497552752494812,0.6388651132583618,0.6692003011703491,0.6686102151870728,-1.4037304936209694e-06,-0.13921493291854858,-0.232852965593338,-0.2923702001571655,-0.3480786085128784,-0.3036220371723175,-0.38792684674263,-0.4216940701007843,-0.43630561232566833,-0.257027804851532,-0.3283534348011017,-0.33633798360824585,-0.339678019285202,-0.20579522848129272,-0.24880489706993103,-0.2276202291250229,-0.21321703493595123,-0.16598153114318848,-0.19713930785655975,-0.1811576783657074,-0.16295453906059265
N560.jpg,0.14791899919509888,0.22557976841926575,0.28492748737335205,0.2728624939918518,0.21702231466770172,0.2601315379142761,0.25006428360939026,0.2122834026813507,0.1811152845621109,0.17992056906223297,0.18699882924556732,0.1718757599592209,0.15805275738239288,0.10179314017295837,0.11596321314573288,0.11187125742435455,0.10556057840585709,0.02739199995994568,0.03817920386791229,0.04604716598987579,0.04823958873748779,0.470132052898407,0.4482562243938446,0.4184323847293854,0.43065834045410156,0.46267396211624146,0.2293900102376938,0.3516843318939209,0.4368439018726349,0.48765304684638977,0.20882752537727356,0.3345101773738861,0.42799296975135803,0.49109214544296265,0.21902307868003845,0.32832637429237366,0.4134370684623718,0.4695320725440979,0.24922534823417664,0.3118607997894287,0.3821801543235779,0.4269917607307434,-1.0293643981640344e-06,-0.0366288498044014,-0.07308618724346161,-0.11036840081214905,-0.1485995352268219,-0.04895944893360138,-0.1068616658449173,-0.15628497302532196,-0.18418973684310913,-0.05586882680654526,-0.0977921411395073,-0.11828797310590744,-0.1283748596906662,-0.06681432574987411,-0.10736383497714996,-0.10786864906549454,-0.09897089749574661,-0.08206769078969955,-0.10631758719682693,-0.09472037851810455,-0.0782325491309166
N280 copy 27.jpg,0.6503986716270447,0.7382376790046692,0.806681752204895,0.8268548250198364,0.794564962387085,0.7345697283744812,0.7285034656524658,0.7171088457107544,0.7146911025047302,0.6395525932312012,0.6481261849403381,0.6590421199798584,0.6677234172821045,0.5635796189308167,0.585902988910675,0.6128302812576294,0.6293877959251404,0.5061004161834717,0.5278729200363159,0.5536604523658752,0.5689025521278381,0.6695996522903442,0.6612625122070312,0.6480864882469177,0.649319589138031,0.6716817617416382,0.5039383769035339,0.6626155376434326,0.75881427526474,0.8220874071121216,0.5068501234054565,0.7007943391799927,0.7821514010429382,0.833503246307373,0.5390558838844299,0.7199205160140991,0.7560541033744812,0.7616272568702698,0.586631178855896,0.6979293823242188,0.7125431895256042,0.696800947189331,-1.0277304909322993e-06,-0.062231771647930145,-0.11310636252164841,-0.15670694410800934,-0.19855284690856934,-0.12719039618968964,-0.2101697474718094,-0.2677799463272095,-0.2971440255641937,-0.1232835054397583,-0.1904274970293045,-0.2092280238866806,-0.21578672528266907,-0.12291105836629868,-0.1663447767496109,-0.1543280929327011,-0.14037805795669556,-0.13027527928352356,-0.15142758190631866,-0.13847659528255463,-0.12376504391431808
