image_name,x_left_0,x_left_1,x_left_2,x_left_3,x_left_4,x_left_5,x_left_6,x_left_7,x_left_8,x_left_9,x_left_10,x_left_11,x_left_12,x_left_13,x_left_14,x_left_15,x_left_16,x_left_17,x_left_18,x_left_19,x_left_20,y_left_0,y_left_1,y_left_2,y_left_3,y_left_4,y_left_5,y_left_6,y_left_7,y_left_8,y_left_9,y_left_10,y_left_11,y_left_12,y_left_13,y_left_14,y_left_15,y_left_16,y_left_17,y_left_18,y_left_19,y_left_20,z_left_0,z_left_1,z_left_2,z_left_3,z_left_4,z_left_5,z_left_6,z_left_7,z_left_8,z_left_9,z_left_10,z_left_11,z_left_12,z_left_13,z_left_14,z_left_15,z_left_16,z_left_17,z_left_18,z_left_19,z_left_20
P931.jpg,0.9130768775939941,0.8703399300575256,0.7755403518676758,0.6870266199111938,0.5871579051017761,0.6235451698303223,0.45907893776893616,0.35857993364334106,0.2719903588294983,0.6223688125610352,0.4870113730430603,0.5239459872245789,0.5951574444770813,0.6230931282043457,0.5092578530311584,0.5646687746047974,0.6284872889518738,0.6200109720230103,0.5485267043113708,0.5682209730148315,0.6119427680969238,0.5461044907569885,0.5779094099998474,0.6261892914772034,0.6868435144424438,0.7256666421890259,0.4100238084793091,0.407053679227829,0.4206533432006836,0.4373737573623657,0.44639235734939575,0.5357787013053894,0.638374924659729,0.6855708360671997,0.495063841342926,0.5656147003173828,0.6464506983757019,0.6756611466407776,0.5234934687614441,0.579050600528717,0.6328908205032349,0.6605963706970215,1.487858867221803e-07,-0.19895070791244507,-0.25713351368904114,-0.2699138820171356,-0.27094846963882446,-0.18299521505832672,-0.21955066919326782,-0.2425076812505722,-0.2573865056037903,-0.08510060608386993,-0.14971014857292175,-0.18668167293071747,-0.1952272206544876,0.0003704793634824455,-0.07737749814987183,-0.12908539175987244,-0.13975252211093903,0.0746413841843605,0.006677380762994289,-0.039146482944488525,-0.05451077222824097
P2696 copy 6.jpg,0.8254926800727844,0.7645739912986755,0.6503530740737915,0.5371932983398438,0.42316925525665283,0.5733907222747803,0.394711971282959,0.2745859920978546,0.18820080161094666,0.5618793368339539,0.38690847158432007,0.3572021722793579,0.3904781937599182,0.5502440929412842,0.39463430643081665,0.3774247169494629,0.40048477053642273,0.5373731851577759,0.4355137348175049,0.3985717296600342,0.401300311088562,0.7930290102958679,0.8717491030693054,0.9175851345062256,0.9331679344177246,0.9185847043991089,0.6676194071769714,0.6610973477363586,0.6661423444747925,0.6801813840866089,0.6503432989120483,0.7085353136062622,0.8168596625328064,0.8987477421760559,0.6610403060913086,0.7046979069709778,0.8040989637374878,0.87660813331604,0.6752849817276001,0.7067650556564331,0.771702766418457,0.8267769813537598,8.250692644651281e-07,-0.2091430276632309,-0.2911854684352875,-0.32194986939430237,-0.34386172890663147,-0.25106117129325867,-0.3076292872428894,-0.34645816683769226,-0.3665272891521454,-0.1346779316663742,-0.18253174424171448,-0.19616055488586426,-0.1949222832918167,-0.027632329612970352,-0.07138198614120483,-0.0920783281326294,-0.09280989319086075,0.06715279072523117,0.034959182143211365,0.014653611928224564,0.009386701509356499
P485.jpg,0.929000973701477,0.9021050930023193,0.8407381176948547,0.7637574672698975,0.6872844696044922,0.8086156249046326,0.6919602751731873,0.6449397802352905,0.620323896408081,0.7862927913665771,0.6537308096885681,0.5826998949050903,0.5351319313049316,0.7696282863616943,0.6523789763450623,0.6262905597686768,0.6191698908805847,0.7579387426376343,0.6779086589813232,0.6596090197563171,0.6541627049446106,0.6988056302070618,0.7559106349945068,0.798222005367279,0.8240379691123962,0.8310831785202026,0.6312999725341797,0.6353318691253662,0.6683603525161743,0.6958189606666565,0.592521071434021,0.5945113897323608,0.6047376990318298,0.6144682765007019,0.5836994051933289,0.6296323537826538,0.7032983303070068,0.7641092538833618,0.5927198529243469,0.6455302834510803,0.7051836252212524,0.7564395070075989,4.837901315113413e-07,-0.12032922357320786,-0.1847514510154724,-0.22014613449573517,-0.24806423485279083,-0.2021888643503189,-0.24302008748054504,-0.25267669558525085,-0.2560870349407196,-0.1487334817647934,-0.19502998888492584,-0.20765124261379242,-0.2147197425365448,-0.09502061456441879,-0.1401294469833374,-0.14899462461471558,-0.14987331628799438,-0.04748077318072319,-0.09365765750408173,-0.10913305729627609,-0.11355583369731903
P488 copy.jpg,0.9351097345352173,0.911463737487793,0.8473073244094849,0.7742671370506287,0.7006768584251404,0.823322057723999,0.7062475085258484,0.6212794780731201,0.551519513130188,0.8011656403541565,0.6671349406242371,0.6256387233734131,0.6200991868972778,0.7836564183235168,0.6629825830459595,0.6445022821426392,0.653684675693512,0.7689085006713867,0.688568651676178,0.669158935546875,0.6721333265304565,0.7241387367248535,0.7837512493133545,0.8345862030982971,0.8622400164604187,0.8705620169639587,0.6784929037094116,0.6583570837974548,0.6513096690177917,0.653588056564331,0.6409737467765808,0.6713460683822632,0.7411066889762878,0.800358235836029,0.6324787139892578,0.675682544708252,0.7512527108192444,0.8083880543708801,0.6385155916213989,0.6807516813278198,0.7355452179908752,0.7784377336502075,2.768179570011853e-07,-0.10884110629558563,-0.16794413328170776,-0.20275728404521942,-0.23537194728851318,-0.18169744312763214,-0.24017134308815002,-0.2727101147174835,-0.29123491048812866,-0.13838647305965424,-0.2000836282968521,-0.2160726934671402,-0.21802875399589539,-0.0972345694899559,-0.15125960111618042,-0.15727391839027405,-0.150178462266922,-0.06209253892302513,-0.10435999184846878,-0.11322198063135147,-0.11018400639295578
P872.jpg,0.9827563762664795,0.9727677702903748,0.9059708714485168,0.8271459937095642,0.7440358996391296,0.8194246292114258,0.6810529828071594,0.5931017398834229,0.5219634175300598,0.7959145307540894,0.6829836964607239,0.7130491137504578,0.7626758217811584,0.7812669277191162,0.6926463842391968,0.7330260276794434,0.7830125689506531,0.773919939994812,0.7041771411895752,0.7282507419586182,0.773250937461853,0.47194573283195496,0.5304876565933228,0.5862225294113159,0.6375311017036438,0.6632810831069946,0.3962947130203247,0.3820570111274719,0.3832295835018158,0.38728901743888855,0.4007440507411957,0.4892806112766266,0.5688323378562927,0.5945696830749512,0.4244961142539978,0.5152976512908936,0.5788366794586182,0.589018702507019,0.44600605964660645,0.5180444121360779,0.5632855892181396,0.5720536708831787,-4.699695210774735e-08,-0.1250506490468979,-0.1804737001657486,-0.21059392392635345,-0.23590761423110962,-0.1597597897052765,-0.20820531249046326,-0.2321454882621765,-0.24684709310531616,-0.11068809777498245,-0.1778806447982788,-0.19433413445949554,-0.19027088582515717,-0.06786176562309265,-0.13691560924053192,-0.14357677102088928,-0.1290944665670395,-0.03249819576740265,-0.09096355736255646,-0.10004013776779175,-0.09009221196174622
P887 copy 7.jpg,1.0017844438552856,1.00474214553833,0.9496417045593262,0.8820990920066833,0.8020656108856201,0.8527059555053711,0.7098128199577332,0.6158364415168762,0.5444130897521973,0.8357979655265808,0.7171657085418701,0.7453789114952087,0.7937582731246948,0.8288062810897827,0.7300233840942383,0.7652736306190491,0.8152259588241577,0.8256000280380249,0.7505021691322327,0.772593080997467,0.818751335144043,0.49004411697387695,0.547317624092102,0.6047712564468384,0.6607739329338074,0.6786471605300903,0.43836724758148193,0.409099280834198,0.4008564352989197,0.3996754586696625,0.4398220479488373,0.5138708353042603,0.5918897390365601,0.6237894296646118,0.4599330723285675,0.5468214750289917,0.6154386401176453,0.6317343711853027,0.48367226123809814,0.5591912269592285,0.6022219061851501,0.6061612963676453,3.1111176213016734e-07,-0.1106644868850708,-0.16717615723609924,-0.2016742080450058,-0.23297980427742004,-0.15942490100860596,-0.21463064849376678,-0.24574731290340424,-0.26488831639289856,-0.12160351127386093,-0.19511285424232483,-0.21915462613105774,-0.2195468544960022,-0.08749901503324509,-0.15683259069919586,-0.15997175872325897,-0.14293506741523743,-0.05932824686169624,-0.11134833842515945,-0.11049629747867584,-0.09449877589941025
P601 copy 3.jpg,0.9065301418304443,0.8678139448165894,0.7773604393005371,0.6826382875442505,0.585101306438446,0.6600683927536011,0.4945812225341797,0.3823340833187103,0.3003477454185486,0.6470150351524353,0.5068554878234863,0.5105947256088257,0.5604870319366455,0.6397888660430908,0.520737886428833,0.532459557056427,0.5701793432235718,0.626608669757843,0.5453333854675293,0.5413143634796143,0.5683827996253967,0.4975747764110565,0.5685119032859802,0.6318545937538147,0.6929131150245667,0.7247014045715332,0.4038422107696533,0.4012623131275177,0.3985699415206909,0.40104806423187256,0.397729754447937,0.4965150058269501,0.6091643571853638,0.6802459955215454,0.4172747731208801,0.5036733150482178,0.5983256101608276,0.6494101881980896,0.4395470917224884,0.505638062953949,0.5716731548309326,0.612628161907196,4.1558266161700885e-07,-0.17381183803081512,-0.2371908724308014,-0.2564251124858856,-0.26669830083847046,-0.22280196845531464,-0.2847476899623871,-0.32305264472961426,-0.3401162326335907,-0.12463077902793884,-0.18303892016410828,-0.20026476681232452,-0.19778679311275482,-0.03380199149250984,-0.09421075135469437,-0.12138589471578598,-0.11953486502170563,0.04880083352327347,0.004128093831241131,-0.018253425136208534,-0.019672289490699768
P591 copy 4.jpg,0.8494734764099121,0.8053958415985107,0.7180019021034241,0.6387355923652649,0.5451977252960205,0.5810604095458984,0.42509621381759644,0.32835039496421814,0.2505839467048645,0.5765135884284973,0.44604170322418213,0.45887184143066406,0.514400064945221,0.5731490254402161,0.4644552767276764,0.48633527755737305,0.5254116058349609,0.5709282159805298,0.49744632840156555,0.488546222448349,0.5095039010047913,0.5922490358352661,0.6664295196533203,0.7202614545822144,0.7735587358474731,0.8117738962173462,0.5274167656898499,0.5262951850891113,0.5266035199165344,0.5281236171722412,0.5199074149131775,0.6088489294052124,0.7125310897827148,0.7707352638244629,0.5364867448806763,0.6102085709571838,0.6993526220321655,0.7480953931808472,0.551271915435791,0.6001278758049011,0.6533151865005493,0.6962526440620422,2.500385107850889e-07,-0.17858768999576569,-0.23195694386959076,-0.2373213768005371,-0.23254893720149994,-0.2060530185699463,-0.24121925234794617,-0.26233890652656555,-0.2705419063568115,-0.0984625294804573,-0.12601855397224426,-0.13484664261341095,-0.13307613134384155,0.0013029668480157852,-0.03290122374892235,-0.0656208023428917,-0.07577463239431381,0.09184172004461288,0.06863094866275787,0.04318345710635185,0.0322197824716568
P916 copy 5.jpg,0.9770198464393616,0.9932446479797363,0.9441061019897461,0.8587880730628967,0.7727254629135132,0.8208502531051636,0.6761530637741089,0.5831423401832581,0.5143558979034424,0.7886390686035156,0.6861647367477417,0.7214760184288025,0.7687328457832336,0.783812403678894,0.710996150970459,0.7542036175727844,0.796893298625946,0.7873913049697876,0.7452816367149353,0.7801592350006104,0.821257472038269,0.4634232819080353,0.5239482522010803,0.5991067290306091,0.66452556848526,0.6973340511322021,0.43684035539627075,0.3908388614654541,0.40699365735054016,0.4285043478012085,0.4469205141067505,0.52940434217453,0.6236239671707153,0.6646159887313843,0.4693930149078369,0.5774968266487122,0.6494903564453125,0.6649187207221985,0.489714115858078,0.5840791463851929,0.6203449964523315,0.6088665723800659,3.567160149486881e-07,-0.09593319147825241,-0.1389274001121521,-0.16228851675987244,-0.1816268414258957,-0.12753751873970032,-0.174550399184227,-0.19305510818958282,-0.20560520887374878,-0.09969490021467209,-0.16976363956928253,-0.18898457288742065,-0.18664953112602234,-0.07662387192249298,-0.1534481793642044,-0.16309508681297302,-0.14835667610168457,-0.05735832452774048,-0.11844992637634277,-0.1267283856868744,-0.11704488098621368
P903 copy.jpg,0.9883355498313904,0.9929201602935791,0.9363352060317993,0.8609622716903687,0.7749178409576416,0.8124675154685974,0.6514010429382324,0.5592430830001831,0.4860488176345825,0.7932825088500977,0.6740656495094299,0.7074004411697388,0.7603551745414734,0.7900500297546387,0.6901546716690063,0.7361337542533875,0.7889633178710938,0.7895373702049255,0.7107146382331848,0.7333266139030457,0.7767021059989929,0.5173363089561462,0.5603527426719666,0.6109951734542847,0.6671424508094788,0.6904938220977783,0.4164080023765564,0.3885076344013214,0.39985138177871704,0.41723403334617615,0.4330805540084839,0.5174166560173035,0.6102070808410645,0.6476187109947205,0.46493586897850037,0.5473709106445312,0.6246842741966248,0.6460870504379272,0.48895296454429626,0.5474441647529602,0.5932887196540833,0.6050205230712891,4.510337880958559e-09,-0.13455362617969513,-0.1950579583644867,-0.22823290526866913,-0.2555314004421234,-0.1708838939666748,-0.22229325771331787,-0.24698881804943085,-0.2615256607532501,-0.11801564693450928,-0.18888118863105774,-0.21122856438159943,-0.2114393413066864,-0.07174337655305862,-0.15119324624538422,-0.1680380403995514,-0.15754631161689758,-0.03162693232297897,-0.09506100416183472,-0.10840828716754913,-0.10091780871152878
