image_name,x_left_0,x_left_1,x_left_2,x_left_3,x_left_4,x_left_5,x_left_6,x_left_7,x_left_8,x_left_9,x_left_10,x_left_11,x_left_12,x_left_13,x_left_14,x_left_15,x_left_16,x_left_17,x_left_18,x_left_19,x_left_20,y_left_0,y_left_1,y_left_2,y_left_3,y_left_4,y_left_5,y_left_6,y_left_7,y_left_8,y_left_9,y_left_10,y_left_11,y_left_12,y_left_13,y_left_14,y_left_15,y_left_16,y_left_17,y_left_18,y_left_19,y_left_20,z_left_0,z_left_1,z_left_2,z_left_3,z_left_4,z_left_5,z_left_6,z_left_7,z_left_8,z_left_9,z_left_10,z_left_11,z_left_12,z_left_13,z_left_14,z_left_15,z_left_16,z_left_17,z_left_18,z_left_19,z_left_20
M204.jpg,0.6228922605514526,0.7381293773651123,0.7893275618553162,0.78205406665802,0.7364580631256104,0.754106879234314,0.7570761442184448,0.7583574056625366,0.7475760579109192,0.6478009223937988,0.6508623957633972,0.6725696325302124,0.6807107329368591,0.5523476004600525,0.5708835124969482,0.5940973162651062,0.6119421720504761,0.48287826776504517,0.5012019872665405,0.5292878150939941,0.5576251745223999,0.6523565649986267,0.6854708194732666,0.7160881161689758,0.7589558959007263,0.8067640066146851,0.4748086631298065,0.6279999017715454,0.7541996836662292,0.848736047744751,0.45386654138565063,0.6372489929199219,0.7789449095726013,0.87723308801651,0.49629244208335876,0.6582754850387573,0.7888014316558838,0.880937397480011,0.56592857837677,0.6666752696037292,0.7487339973449707,0.8081470131874084,7.402357482533262e-08,-0.10873336344957352,-0.20005767047405243,-0.26692160964012146,-0.33486971259117126,-0.3223637044429779,-0.4320647120475769,-0.4816470742225647,-0.5109191536903381,-0.3087814152240753,-0.4384486675262451,-0.4783274531364441,-0.5037482380867004,-0.29057279229164124,-0.41094425320625305,-0.442142516374588,-0.45324698090553284,-0.27513688802719116,-0.3603871762752533,-0.3837945759296417,-0.3997020125389099
M392 copy 3.jpg,0.42796051502227783,0.49117860198020935,0.5155183672904968,0.4874803423881531,0.44901156425476074,0.44041022658348083,0.44118595123291016,0.4328041970729828,0.4223467707633972,0.37665170431137085,0.39842087030410767,0.4025447964668274,0.40200406312942505,0.32412630319595337,0.3535499572753906,0.3652142286300659,0.37089741230010986,0.27897146344184875,0.3001859784126282,0.3198908269405365,0.32881438732147217,0.5850346684455872,0.5125019550323486,0.42637595534324646,0.36664965748786926,0.33790960907936096,0.2954547703266144,0.35663217306137085,0.4534901976585388,0.5234286189079285,0.3067029118537903,0.37561705708503723,0.4748914837837219,0.5526556372642517,0.3427067995071411,0.39934486150741577,0.4812391400337219,0.5477437973022461,0.39320868253707886,0.4227282404899597,0.4767047166824341,0.5143315196037292,-9.769689768290846e-07,-0.037576787173748016,-0.06115562468767166,-0.08259344100952148,-0.10149087756872177,-0.03459663316607475,-0.08798985928297043,-0.13092294335365295,-0.1529238522052765,-0.03362014517188072,-0.08207787573337555,-0.10117190331220627,-0.10524152219295502,-0.038467392325401306,-0.08465113490819931,-0.08111632615327835,-0.06661389768123627,-0.04716373234987259,-0.08075165748596191,-0.07372065633535385,-0.05748312920331955
M387 copy.jpg,0.48980990052223206,0.47472307085990906,0.44840624928474426,0.41578689217567444,0.3963927924633026,0.4446589946746826,0.44186267256736755,0.44122278690338135,0.43844202160835266,0.4465121328830719,0.4543839395046234,0.46022912859916687,0.45994359254837036,0.45267021656036377,0.45559072494506836,0.46109485626220703,0.46269720792770386,0.4611382782459259,0.4580938220024109,0.45897239446640015,0.4565373957157135,0.5697216987609863,0.5430765748023987,0.4959365725517273,0.45597541332244873,0.42101192474365234,0.30901965498924255,0.3474876582622528,0.43990713357925415,0.5030783414840698,0.3014923334121704,0.34978777170181274,0.45122939348220825,0.5226436853408813,0.3210090100765228,0.3599797785282135,0.4452694058418274,0.5071690082550049,0.35558032989501953,0.3560587763786316,0.4063172936439514,0.44545018672943115,-1.1455251751613105e-06,-0.04515517130494118,-0.0770222619175911,-0.10573048889636993,-0.12916050851345062,-0.03506328538060188,-0.08472148329019547,-0.12574584782123566,-0.14693215489387512,-0.03226815536618233,-0.08184953033924103,-0.10475977510213852,-0.10912051051855087,-0.03550244867801666,-0.08044461905956268,-0.07863663882017136,-0.06397971510887146,-0.04270055145025253,-0.06942925602197647,-0.05873086303472519,-0.03981057554483414
M500 copy.jpg,0.7126219868659973,0.7738685011863708,0.8157055377960205,0.8183593153953552,0.7953676581382751,0.7746182084083557,0.7754517197608948,0.7803493738174438,0.7839885950088501,0.7200706005096436,0.7202641367912292,0.7312173247337341,0.737359881401062,0.671152651309967,0.6747913360595703,0.6905652284622192,0.6991299390792847,0.629054069519043,0.6326380968093872,0.643771231174469,0.647037148475647,0.5397252440452576,0.4959074556827545,0.4321476221084595,0.3751131296157837,0.3501560688018799,0.4406927824020386,0.4121646583080292,0.3979525566101074,0.3934151530265808,0.4463469982147217,0.37728220224380493,0.3609682619571686,0.3659842014312744,0.44994550943374634,0.3797485828399658,0.36766374111175537,0.3726126551628113,0.45729029178619385,0.4042043089866638,0.38655886054039,0.38354814052581787,1.050514839562311e-07,-0.01396934874355793,-0.027815472334623337,-0.03859810531139374,-0.04974823817610741,-0.03849448636174202,-0.0605839379131794,-0.07605551183223724,-0.08389538526535034,-0.03866133838891983,-0.05931089073419571,-0.06794972717761993,-0.07203798741102219,-0.038202375173568726,-0.05580275133252144,-0.05460396781563759,-0.05097704753279686,-0.03747924044728279,-0.04603353887796402,-0.04045167565345764,-0.03507658839225769
M167 copy 2.jpg,0.5941548347473145,0.7082474827766418,0.7802977561950684,0.821129322052002,0.8404730558395386,0.715442955493927,0.7719594836235046,0.7958117127418518,0.8000575304031372,0.6058498620986938,0.6850304007530212,0.7342181205749512,0.7579474449157715,0.5109912157058716,0.5901123285293579,0.6471768021583557,0.6865933537483215,0.43156662583351135,0.4777340590953827,0.524889349937439,0.566064715385437,0.6673364043235779,0.6872593760490417,0.6960782408714294,0.7329668998718262,0.7685766816139221,0.46916672587394714,0.6310251951217651,0.7494882345199585,0.842156171798706,0.46406981348991394,0.6467862129211426,0.7785903215408325,0.8690187335014343,0.5112378597259521,0.6819143891334534,0.7950213551521301,0.871722400188446,0.5828741192817688,0.6814406514167786,0.7515975832939148,0.80218106508255,1.8178228344822855e-07,-0.0755474641919136,-0.15454243123531342,-0.2204975038766861,-0.2904776334762573,-0.26434504985809326,-0.36103492975234985,-0.4055495858192444,-0.4333202540874481,-0.26896438002586365,-0.3775928020477295,-0.41051140427589417,-0.4362523555755615,-0.26971858739852905,-0.3780103027820587,-0.4019871950149536,-0.41243788599967957,-0.271658331155777,-0.35741740465164185,-0.38108834624290466,-0.39822474122047424
M467 copy 2.jpg,0.35095804929733276,0.4081522822380066,0.44427627325057983,0.43863287568092346,0.41161081194877625,0.4315147399902344,0.4157700836658478,0.4041370153427124,0.3972834050655365,0.36813637614250183,0.3483707904815674,0.3472559452056885,0.35072386264801025,0.3107622265815735,0.29381078481674194,0.30141332745552063,0.3097500801086426,0.26408323645591736,0.25023943185806274,0.25883960723876953,0.26428988575935364,0.42654550075531006,0.4053197205066681,0.3524068295955658,0.29501381516456604,0.2540663182735443,0.22029906511306763,0.21682415902614594,0.24327445030212402,0.2690933048725128,0.20107659697532654,0.2434690147638321,0.29802513122558594,0.3253915011882782,0.21305769681930542,0.26841869950294495,0.31435978412628174,0.3325914740562439,0.24200519919395447,0.28748247027397156,0.32437416911125183,0.33647117018699646,-3.5588612945502973e-07,-0.05657404661178589,-0.08497168123722076,-0.10319755971431732,-0.1156371533870697,-0.06083305552601814,-0.10748137533664703,-0.13304497301578522,-0.14376722276210785,-0.045965515077114105,-0.08693034946918488,-0.09637708961963654,-0.09518156200647354,-0.03745730221271515,-0.07356134057044983,-0.06493068486452103,-0.05192001909017563,-0.034183479845523834,-0.05843145027756691,-0.051200021058321,-0.037456952035427094
M467.jpg,0.35095804929733276,0.4081522822380066,0.44427627325057983,0.43863287568092346,0.41161081194877625,0.4315147399902344,0.4157700836658478,0.4041370153427124,0.3972834050655365,0.36813637614250183,0.3483707904815674,0.3472559452056885,0.35072386264801025,0.3107622265815735,0.29381078481674194,0.30141332745552063,0.3097500801086426,0.26408323645591736,0.25023943185806274,0.25883960723876953,0.26428988575935364,0.42654550075531006,0.4053197205066681,0.3524068295955658,0.29501381516456604,0.2540663182735443,0.22029906511306763,0.21682415902614594,0.24327445030212402,0.2690933048725128,0.20107659697532654,0.2434690147638321,0.29802513122558594,0.3253915011882782,0.21305769681930542,0.26841869950294495,0.31435978412628174,0.3325914740562439,0.24200519919395447,0.28748247027397156,0.32437416911125183,0.33647117018699646,-3.5588612945502973e-07,-0.05657404661178589,-0.08497168123722076,-0.10319755971431732,-0.1156371533870697,-0.06083305552601814,-0.10748137533664703,-0.13304497301578522,-0.14376722276210785,-0.045965515077114105,-0.08693034946918488,-0.09637708961963654,-0.09518156200647354,-0.03745730221271515,-0.07356134057044983,-0.06493068486452103,-0.05192001909017563,-0.034183479845523834,-0.05843145027756691,-0.051200021058321,-0.037456952035427094
M273 copy 2.jpg,0.74334716796875,0.8446706533432007,0.8995844721794128,0.908428966999054,0.8948646783828735,0.8213749527931213,0.8460071682929993,0.8472632169723511,0.8486541509628296,0.7166727185249329,0.7475386261940002,0.7769315242767334,0.7984494566917419,0.6269383430480957,0.6481959819793701,0.6920726895332336,0.7260396480560303,0.5562154650688171,0.5592952966690063,0.601631760597229,0.6374609470367432,0.8110876083374023,0.7724778056144714,0.7130666375160217,0.6737066507339478,0.6779646873474121,0.45693111419677734,0.5795749425888062,0.7088865041732788,0.7971339225769043,0.46549084782600403,0.5872731804847717,0.7319285869598389,0.8368124961853027,0.5136523842811584,0.6155577898025513,0.7486305832862854,0.8444560766220093,0.5819520354270935,0.6547663807868958,0.737571120262146,0.7919726371765137,-6.510881576105021e-07,-0.10051865130662918,-0.18052712082862854,-0.25149375200271606,-0.31873875856399536,-0.1475854068994522,-0.26350095868110657,-0.3397230803966522,-0.3777048587799072,-0.1403345912694931,-0.2552475333213806,-0.29101231694221497,-0.29698646068573,-0.14305506646633148,-0.24504385888576508,-0.24355046451091766,-0.21982143819332123,-0.15469451248645782,-0.22258524596691132,-0.22247517108917236,-0.20583705604076385
M232 copy 3.jpg,0.5943304896354675,0.7067046761512756,0.7640216946601868,0.763923168182373,0.7332854270935059,0.7110089063644409,0.7116775512695312,0.723949670791626,0.7247210741043091,0.60129714012146,0.6042720079421997,0.6242769360542297,0.6357815265655518,0.5107330083847046,0.5207152962684631,0.5412656664848328,0.5631154179573059,0.4479084610939026,0.4629586338996887,0.49662482738494873,0.5359127521514893,0.7607945203781128,0.7731655836105347,0.749824047088623,0.7433309555053711,0.781610906124115,0.5078575611114502,0.6005610227584839,0.7155013084411621,0.820715069770813,0.48697513341903687,0.6247156858444214,0.7565021514892578,0.8710946440696716,0.5407770872116089,0.6526501178741455,0.782028079032898,0.8869399428367615,0.6236066222190857,0.6975192427635193,0.7842234969139099,0.8524991273880005,2.6742037562144105e-07,-0.10664016753435135,-0.205297589302063,-0.28350260853767395,-0.3647373616695404,-0.32224947214126587,-0.4435598850250244,-0.509840190410614,-0.5528572201728821,-0.31629517674446106,-0.44932758808135986,-0.5002669095993042,-0.541109025478363,-0.3062518835067749,-0.43142175674438477,-0.4687804579734802,-0.48869869112968445,-0.29938948154449463,-0.3900030255317688,-0.41788461804389954,-0.44094642996788025
M2987.jpg,0.7196573615074158,0.8318699598312378,0.8848103284835815,0.8672147393226624,0.8258050084114075,0.8065068125724792,0.8051699995994568,0.8115552663803101,0.8142372369766235,0.689178466796875,0.6941635608673096,0.7198605537414551,0.7393782138824463,0.6053162217140198,0.6173821687698364,0.6507163047790527,0.6803457736968994,0.549095869064331,0.5645532011985779,0.6091082096099854,0.6486018896102905,0.7102372050285339,0.6917924880981445,0.6283228397369385,0.6033743619918823,0.6217222213745117,0.4684128165245056,0.47885775566101074,0.5801249742507935,0.6702225208282471,0.451856791973114,0.4929383397102356,0.6068071722984314,0.6968958377838135,0.4861176908016205,0.5249288082122803,0.6242017149925232,0.7058972120285034,0.5464206337928772,0.5633726119995117,0.620970606803894,0.6754305958747864,9.4532089178756e-07,-0.12041060626506805,-0.24503299593925476,-0.33846965432167053,-0.4312390983104706,-0.41040802001953125,-0.5439203381538391,-0.600189745426178,-0.6334964036941528,-0.40028417110443115,-0.5435139536857605,-0.5588328242301941,-0.570942759513855,-0.3847561478614807,-0.5102883577346802,-0.5078707933425903,-0.4998356103897095,-0.37455233931541443,-0.47599467635154724,-0.49801066517829895,-0.512618899345398
