image_name,x_left_0,x_left_1,x_left_2,x_left_3,x_left_4,x_left_5,x_left_6,x_left_7,x_left_8,x_left_9,x_left_10,x_left_11,x_left_12,x_left_13,x_left_14,x_left_15,x_left_16,x_left_17,x_left_18,x_left_19,x_left_20,y_left_0,y_left_1,y_left_2,y_left_3,y_left_4,y_left_5,y_left_6,y_left_7,y_left_8,y_left_9,y_left_10,y_left_11,y_left_12,y_left_13,y_left_14,y_left_15,y_left_16,y_left_17,y_left_18,y_left_19,y_left_20,z_left_0,z_left_1,z_left_2,z_left_3,z_left_4,z_left_5,z_left_6,z_left_7,z_left_8,z_left_9,z_left_10,z_left_11,z_left_12,z_left_13,z_left_14,z_left_15,z_left_16,z_left_17,z_left_18,z_left_19,z_left_20
Y232 copy.jpg,0.3921288251876831,0.4478611350059509,0.49665069580078125,0.5127788782119751,0.5253394842147827,0.39077532291412354,0.36738133430480957,0.3856440782546997,0.4024961292743683,0.33932796120643616,0.3191368281841278,0.3525659739971161,0.371054470539093,0.2978168725967407,0.2741767168045044,0.3066053092479706,0.3305220603942871,0.26531657576560974,0.21779049932956696,0.1948777139186859,0.16827508807182312,0.7717024087905884,0.6897779703140259,0.6264536380767822,0.5549834966659546,0.5065717697143555,0.5809484720230103,0.5424419641494751,0.5890833735466003,0.6246634125709534,0.6023821234703064,0.5580077767372131,0.6170005202293396,0.6421611309051514,0.6302964687347412,0.584676206111908,0.6364744305610657,0.6712732911109924,0.6627235412597656,0.6125489473342896,0.5853050947189331,0.5497679710388184,-5.16447698828415e-07,-0.028761697933077812,-0.04300277307629585,-0.0577625036239624,-0.06509213894605637,0.004361058585345745,-0.02921235002577305,-0.049135688692331314,-0.05412956699728966,0.007073909044265747,-0.03156333789229393,-0.046539198607206345,-0.04769417271018028,0.0032954325433820486,-0.03166840597987175,-0.0238819420337677,-0.008545471355319023,-0.003565268823876977,-0.018840324133634567,-0.013182654045522213,-0.004535019863396883
Y392 copy 2.jpg,0.830622673034668,0.8879295587539673,0.9414317011833191,0.9575170874595642,0.9618526697158813,0.8620051741600037,0.823077917098999,0.8303079009056091,0.8499149084091187,0.8117731809616089,0.7804038524627686,0.8002747297286987,0.8222140669822693,0.7712664604187012,0.7395975589752197,0.7592482566833496,0.7852199077606201,0.7382122278213501,0.6950408220291138,0.6607228517532349,0.6321877241134644,0.8876453042030334,0.8146497011184692,0.7441310882568359,0.6715986728668213,0.6201680898666382,0.6893320083618164,0.6474705338478088,0.7032526135444641,0.7390430569648743,0.7064974308013916,0.6608784198760986,0.7308867573738098,0.7566483020782471,0.7305465936660767,0.6894685626029968,0.7449280023574829,0.7768012881278992,0.7590742707252502,0.7111397981643677,0.6903310418128967,0.6651061773300171,-5.884317033633124e-07,-0.03600471839308739,-0.0489448644220829,-0.0604366809129715,-0.06343934684991837,0.001064217067323625,-0.032554157078266144,-0.050503116101026535,-0.053670354187488556,0.009891403838992119,-0.029001256451010704,-0.04066098853945732,-0.03731298819184303,0.010885047726333141,-0.024814853444695473,-0.019594991579651833,-0.00391280185431242,0.0083590904250741,-0.006309046410024166,-0.003912138286978006,0.003514958778396249
Y2833 copy 2.jpg,0.6493257880210876,0.7451045513153076,0.826079249382019,0.8725069165229797,0.9148616790771484,0.7102537751197815,0.7153437733650208,0.7194209098815918,0.7202427387237549,0.6392080187797546,0.6478903889656067,0.6594777703285217,0.6648687720298767,0.5768000483512878,0.5824971795082092,0.6030178666114807,0.616205096244812,0.521705150604248,0.4816147983074188,0.46567925810813904,0.45503732562065125,0.9913121461868286,0.9482758641242981,0.8710126876831055,0.7932297587394714,0.7347918748855591,0.7615098357200623,0.717604398727417,0.7918930649757385,0.8470576405525208,0.7656267285346985,0.7108607888221741,0.7986201643943787,0.855689525604248,0.7811457514762878,0.7215766310691833,0.7991205453872681,0.8562246561050415,0.8075531721115112,0.7329159379005432,0.6865024566650391,0.6353436708450317,-8.656231216264132e-07,-0.05485367774963379,-0.08248936384916306,-0.10744600743055344,-0.12519274652004242,-0.04272836074233055,-0.09177922457456589,-0.11601019650697708,-0.12184881418943405,-0.036232057958841324,-0.09292944520711899,-0.11064211279153824,-0.10984429717063904,-0.03779679536819458,-0.09192398190498352,-0.09168137609958649,-0.07684621959924698,-0.04369078576564789,-0.07109184563159943,-0.07343177497386932,-0.069454625248909
Y215 copy 2.jpg,0.39337146282196045,0.44273900985717773,0.49232324957847595,0.5100295543670654,0.5168250799179077,0.3866998553276062,0.35471275448799133,0.37595686316490173,0.3979535698890686,0.33420825004577637,0.3064219653606415,0.3462497889995575,0.36706337332725525,0.29164621233940125,0.26619192957878113,0.30171826481819153,0.3285764157772064,0.26028749346733093,0.20556162297725677,0.18157704174518585,0.15465696156024933,0.8587491512298584,0.765267550945282,0.6884582042694092,0.6078433394432068,0.555500328540802,0.6405419707298279,0.5951297283172607,0.6491800546646118,0.685541033744812,0.664334237575531,0.6131073236465454,0.6804119944572449,0.7022925615310669,0.6971024870872498,0.6490724682807922,0.7055821418762207,0.7389482259750366,0.7332739233970642,0.6796926259994507,0.6505029797554016,0.6121283769607544,-5.47117167570832e-07,-0.02967710979282856,-0.04556131735444069,-0.061845384538173676,-0.06849897652864456,0.007768522948026657,-0.029476867988705635,-0.05045708641409874,-0.0550936721265316,0.011250712908804417,-0.03377142176032066,-0.05016340687870979,-0.05003998428583145,0.008006553165614605,-0.029977669939398766,-0.017604954540729523,0.0028613044414669275,0.0013939433265477419,-0.013386520557105541,-0.004435447044670582,0.007672242354601622
Y369 copy.jpg,0.7579076886177063,0.8232343792915344,0.8803688883781433,0.8996614813804626,0.9019381999969482,0.7859607934951782,0.7592132687568665,0.7723439335823059,0.7882700562477112,0.7353529334068298,0.7123841047286987,0.7386829853057861,0.7590517401695251,0.6938232779502869,0.6711468696594238,0.6978440284729004,0.7215385437011719,0.6576490998268127,0.6180192232131958,0.5935302972793579,0.5667991042137146,0.732087254524231,0.6581818461418152,0.5948486924171448,0.5240965485572815,0.47222766280174255,0.5407711863517761,0.49232545495033264,0.546484649181366,0.584540605545044,0.5565603971481323,0.5050999522209167,0.5724987387657166,0.6001724600791931,0.5812352895736694,0.5378042459487915,0.5912338495254517,0.6233561038970947,0.6104785799980164,0.5591393113136292,0.5315285325050354,0.4967343807220459,-5.514659733307781e-07,-0.03526169806718826,-0.05109604075551033,-0.06573569774627686,-0.072190061211586,-0.007789687719196081,-0.04471130669116974,-0.0629146471619606,-0.06604662537574768,-0.0024733892641961575,-0.0472567155957222,-0.0612797886133194,-0.05994413048028946,-0.004063151311129332,-0.04366633668541908,-0.036673568189144135,-0.02033560909330845,-0.009119357913732529,-0.027749458327889442,-0.024695130065083504,-0.01726469397544861
Y500 copy.jpg,0.28901758790016174,0.35169506072998047,0.41072922945022583,0.427879273891449,0.43312597274780273,0.325156569480896,0.28803902864456177,0.29401299357414246,0.310785710811615,0.2707882225513458,0.23961028456687927,0.25671303272247314,0.27729111909866333,0.22577731311321259,0.19541311264038086,0.21268737316131592,0.23747599124908447,0.1883927881717682,0.15067043900489807,0.12002098560333252,0.09483085572719574,0.7555665969848633,0.6795995235443115,0.6103618741035461,0.535755455493927,0.4838578402996063,0.5560111403465271,0.5184072852134705,0.5687870383262634,0.6028757691383362,0.5736417770385742,0.5265762805938721,0.5898378491401672,0.6204543709754944,0.5973474383354187,0.5576980113983154,0.6090137362480164,0.6425994634628296,0.6260644793510437,0.573137640953064,0.547616183757782,0.5196863412857056,-6.054138452782354e-07,-0.0335112139582634,-0.043739404529333115,-0.053347472101449966,-0.056053925305604935,0.006528620142489672,-0.022472234442830086,-0.03969532996416092,-0.04310844838619232,0.013171250931918621,-0.023327389732003212,-0.0391361229121685,-0.03879987820982933,0.012769333086907864,-0.020810004323720932,-0.020038099959492683,-0.007608349435031414,0.009172448888421059,-0.0033465700689703226,0.00012430913920979947,0.008037394843995571
Y385 copy 2.jpg,0.7919336557388306,0.8486488461494446,0.9014665484428406,0.9193905591964722,0.9225451946258545,0.8177777528762817,0.7801624536514282,0.7936321496963501,0.8145918846130371,0.7670801877975464,0.735838770866394,0.7609881162643433,0.7822762727737427,0.7261911034584045,0.6955345869064331,0.7185735106468201,0.744233250617981,0.6925756335258484,0.6477457284927368,0.6147353649139404,0.5850926041603088,0.872447669506073,0.7945594191551208,0.7251547574996948,0.6504631638526917,0.5992242693901062,0.6686299443244934,0.6311435103416443,0.6858814358711243,0.7178453803062439,0.6880021095275879,0.6424764394760132,0.7131556868553162,0.7347049117088318,0.7128918170928955,0.6701778769493103,0.7260305881500244,0.7590173482894897,0.7407127022743225,0.6942393183708191,0.6715198755264282,0.6430730819702148,-5.496088419931766e-07,-0.038636598736047745,-0.05430521070957184,-0.06750413775444031,-0.07107678800821304,-0.003658358007669449,-0.04007115960121155,-0.060238443315029144,-0.06515399366617203,0.005699561443179846,-0.03418433666229248,-0.04625401273369789,-0.04489651322364807,0.00717042526230216,-0.029134830459952354,-0.022329451516270638,-0.007038412615656853,0.0047717043198645115,-0.010361638851463795,-0.0076067401096224785,-0.0008053111960180104
Y2903 copy 3.jpg,0.7369900941848755,0.8198865056037903,0.8831305503845215,0.9146878719329834,0.9433793425559998,0.7628161907196045,0.7603521347045898,0.7777259349822998,0.7853146195411682,0.7002341747283936,0.6976141333580017,0.7235963344573975,0.7360302805900574,0.6481369137763977,0.6425067186355591,0.6726849675178528,0.6896723508834839,0.6035850644111633,0.5548697113990784,0.5335342884063721,0.5135530233383179,1.0076806545257568,0.9511763453483582,0.8747685551643372,0.7977806925773621,0.7408546209335327,0.8003953099250793,0.7597209811210632,0.8227567672729492,0.8666815757751465,0.8133739233016968,0.7601718902587891,0.8336296081542969,0.8766754865646362,0.8366490602493286,0.7825993895530701,0.844487726688385,0.8872308731079102,0.8692711591720581,0.8059729933738708,0.7643314599990845,0.7170495390892029,-7.957481784615084e-07,-0.04647773131728172,-0.07005313783884048,-0.09208805114030838,-0.10766123235225677,-0.03325523063540459,-0.07595538347959518,-0.09683765470981598,-0.10201417654752731,-0.030178667977452278,-0.07868556678295135,-0.09407245367765427,-0.09422969818115234,-0.03424481675028801,-0.08120725303888321,-0.07870262116193771,-0.065039724111557,-0.04220692068338394,-0.06553642451763153,-0.064656563103199,-0.05967049300670624
hand3_y_dif_seg_5_cropped.jpeg,0.4734739065170288,0.6495033502578735,0.7818936705589294,0.8519980311393738,0.9512434005737305,0.6456610560417175,0.5445878505706787,0.5589478611946106,0.6124511957168579,0.5110492706298828,0.4309920370578766,0.4584471881389618,0.5207112431526184,0.39156585931777954,0.3282117545604706,0.3652119040489197,0.42128366231918335,0.29010462760925293,0.21775910258293152,0.17228367924690247,0.1380666196346283,0.8309851884841919,0.7656298875808716,0.5756940841674805,0.39368823170661926,0.2939247190952301,0.39203932881355286,0.29534676671028137,0.4378167390823364,0.5051387548446655,0.4052015542984009,0.3103024363517761,0.4897013306617737,0.529582679271698,0.43688222765922546,0.35835862159729004,0.5144946575164795,0.5734280347824097,0.48337361216545105,0.3643379211425781,0.3221489191055298,0.250552773475647,-7.958393553053611e-07,-0.13902093470096588,-0.18766167759895325,-0.2144416719675064,-0.21511755883693695,-0.11576830595731735,-0.20196856558322906,-0.21051524579524994,-0.1985565721988678,-0.07849568873643875,-0.18018750846385956,-0.17068998515605927,-0.13903988897800446,-0.06361083686351776,-0.1726631373167038,-0.15198223292827606,-0.1092868521809578,-0.059407103806734085,-0.12476471811532974,-0.13271579146385193,-0.12351992726325989
Y2896.jpg,0.7503602504730225,0.8259609341621399,0.8810487389564514,0.9030378460884094,0.9176506400108337,0.7526547312736511,0.7459346652030945,0.7702541351318359,0.7824034690856934,0.6937474012374878,0.6876527667045593,0.7220720052719116,0.7410587072372437,0.6443725824356079,0.634129524230957,0.6724408268928528,0.6971604228019714,0.5997512340545654,0.5427089333534241,0.5154109001159668,0.4917779862880707,1.0104925632476807,0.939989447593689,0.8580399751663208,0.7772768139839172,0.717753529548645,0.8010742664337158,0.7494240403175354,0.8107754588127136,0.8597153425216675,0.8185888528823853,0.7580048441886902,0.8311651945114136,0.8789219260215759,0.8441663980484009,0.7846974730491638,0.8433512449264526,0.8880083560943604,0.8795700073242188,0.8177776336669922,0.7768361568450928,0.7323110699653625,-7.778932058499777e-07,-0.04616351053118706,-0.06779298931360245,-0.08756010979413986,-0.10077545046806335,-0.030760901048779488,-0.07127546519041061,-0.08915550261735916,-0.09128446877002716,-0.0262870155274868,-0.07445046305656433,-0.08926182240247726,-0.08780865371227264,-0.029209071770310402,-0.07534279674291611,-0.07497595250606537,-0.06222791224718094,-0.03588002547621727,-0.05954064428806305,-0.061747390776872635,-0.058823373168706894
